t=2026-03-06T04:12:31-0300 lvl=info msg="no configuration paths supplied"
t=2026-03-06T04:12:31-0300 lvl=info msg="using configuration at default config path" path="/Users/jeffersonlopes/Library/Application Support/ngrok/ngrok.yml"
t=2026-03-06T04:12:31-0300 lvl=info msg="open config file" path="/Users/jeffersonlopes/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-03-06T04:12:31-0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-06T04:12:31-0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-03-06T04:12:31-0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-03-06T04:12:31-0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-03-06T04:12:31-0300 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5173 url=https://indivisible-nonfelicitously-lana.ngrok-free.dev
t=2026-03-06T04:12:31-0300 lvl=info msg="update available" obj=updater
t=2026-03-06T04:12:36-0300 lvl=info msg=start pg=/api/tunnels id=dfb2ea60825d7166
t=2026-03-06T04:12:36-0300 lvl=info msg=end pg=/api/tunnels id=dfb2ea60825d7166 status=200 dur=194.667µs
t=2026-03-06T04:19:41-0300 lvl=info msg="join connections" obj=join id=3ee0a0c6b4b1 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64837
t=2026-03-06T04:19:41-0300 lvl=info msg="join connections" obj=join id=1a9cc79b5ae3 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:41-0300 lvl=info msg="join connections" obj=join id=c2ad244ba012 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:41-0300 lvl=info msg="join connections" obj=join id=104236cd2a67 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:41-0300 lvl=info msg="join connections" obj=join id=e527a171bc0e l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:41-0300 lvl=info msg="join connections" obj=join id=b51f7dd70d41 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:41-0300 lvl=info msg="join connections" obj=join id=e83a7151d97c l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:41-0300 lvl=info msg="join connections" obj=join id=d87b5a1c8ea2 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:41-0300 lvl=info msg="join connections" obj=join id=985253491f2a l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:41-0300 lvl=info msg="join connections" obj=join id=0a141f0c2082 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:41-0300 lvl=info msg="join connections" obj=join id=d5b691e40aa4 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:41-0300 lvl=info msg="join connections" obj=join id=e62b94f57add l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
